datetime;open;high;low;close;volume
2023-04-02 22:00:00;1.08398;1.08403;1.08398;1.08403;0
2023-04-02 22:01:00;1.08403;1.08405;1.08403;1.08405;0
2023-04-02 22:02:00;1.08405;1.08411;1.08405;1.0841;0
2023-04-02 22:03:00;1.08411;1.08412;1.08411;1.08412;0
2023-04-02 22:04:00;1.08414;1.08414;1.08404;1.08405;0
2023-04-02 22:05:00;1.08405;1.08418;1.08405;1.08411;0
2023-04-02 22:06:00;1.08405;1.08413;1.08405;1.08405;0
2023-04-02 22:07:00;1.08416;1.08427;1.08408;1.08427;0
2023-04-02 22:08:00;1.08426;1.08427;1.08426;1.08427;0
2023-04-02 22:09:00;1.08426;1.08435;1.08426;1.08435;0
2023-04-02 22:10:00;1.08436;1.08438;1.08436;1.08436;0
2023-04-02 22:11:00;1.08437;1.08437;1.08428;1.08428;0
2023-04-02 22:12:00;1.08429;1.08435;1.08428;1.08435;0
2023-04-02 22:13:00;1.08434;1.08436;1.08434;1.08436;0
2023-04-02 22:15:00;1.08436;1.0844;1.08436;1.08436;0
2023-04-02 22:16:00;1.08436;1.08436;1.08436;1.08436;0
2023-04-02 22:17:00;1.08436;1.08436;1.08436;1.08436;0
2023-04-02 22:19:00;1.08436;1.08436;1.08436;1.08436;0
2023-04-02 22:20:00;1.08436;1.08436;1.08436;1.08436;0
2023-04-02 22:21:00;1.08436;1.08436;1.08436;1.08436;0
2023-04-02 22:22:00;1.08435;1.08435;1.08435;1.08435;0
2023-04-02 22:23:00;1.08438;1.08438;1.08438;1.08438;0
2023-04-02 22:24:00;1.08437;1.08439;1.08437;1.08439;0
2023-04-02 22:25:00;1.08435;1.08435;1.08435;1.08435;0
2023-04-02 22:26:00;1.08437;1.08438;1.08435;1.08437;0
2023-04-02 22:27:00;1.08424;1.08424;1.08412;1.08417;0
2023-04-02 22:28:00;1.08418;1.08419;1.08418;1.08418;0
2023-04-02 22:29:00;1.08418;1.08418;1.08414;1.08416;0
2023-04-02 22:30:00;1.08415;1.08427;1.08414;1.08418;0
2023-04-02 22:31:00;1.08415;1.08417;1.08415;1.08417;0
2023-04-02 22:32:00;1.08418;1.08418;1.08418;1.08418;0
2023-04-02 22:33:00;1.08417;1.08418;1.08413;1.08414;0
2023-04-02 22:34:00;1.08415;1.08415;1.08402;1.08402;0
2023-04-02 22:35:00;1.084;1.08405;1.084;1.08403;0
2023-04-02 22:36:00;1.08403;1.08403;1.08401;1.08402;0
2023-04-02 22:38:00;1.08402;1.08402;1.08402;1.08402;0
2023-04-02 22:39:00;1.08402;1.08402;1.08402;1.08402;0
2023-04-02 22:40:00;1.08403;1.08403;1.084;1.08402;0
2023-04-02 22:41:00;1.08401;1.08402;1.084;1.08401;0
2023-04-02 22:42:00;1.08403;1.08405;1.08403;1.08405;0
2023-04-02 22:45:00;1.08403;1.08403;1.08401;1.08401;0
2023-04-02 22:47:00;1.08401;1.08401;1.08401;1.08401;0
2023-04-02 22:49:00;1.08403;1.0841;1.08403;1.08409;0
2023-04-02 22:50:00;1.08409;1.08409;1.08409;1.08409;0
2023-04-02 22:51:00;1.08409;1.08415;1.08409;1.08415;0
2023-04-02 22:54:00;1.08416;1.08416;1.08416;1.08416;0
2023-04-02 22:56:00;1.08416;1.08418;1.08415;1.08416;0
2023-04-02 22:57:00;1.08413;1.08413;1.08409;1.08409;0
2023-04-02 22:58:00;1.08411;1.08426;1.08407;1.08415;0
2023-04-02 22:59:00;1.08416;1.08419;1.08404;1.08418;0
2023-04-03 00:00:00;1.08192;1.08222;1.08191;1.08221;0
2023-04-03 00:01:00;1.0822;1.08222;1.08215;1.08215;0
2023-04-03 00:02:00;1.08215;1.08215;1.08207;1.08209;0
2023-04-03 00:03:00;1.0821;1.08215;1.08209;1.08214;0
2023-04-03 00:04:00;1.08215;1.08225;1.08214;1.08214;0
2023-04-03 00:05:00;1.08215;1.08226;1.08215;1.08225;0
2023-04-03 00:06:00;1.08226;1.08228;1.0822;1.08227;0
2023-04-03 00:07:00;1.08228;1.08229;1.08193;1.08195;0
2023-04-03 00:08:00;1.08195;1.08201;1.08191;1.08201;0
2023-04-03 00:09:00;1.08201;1.08201;1.08172;1.08173;0
2023-04-03 00:10:00;1.08172;1.08176;1.08144;1.08147;0
2023-04-03 00:11:00;1.08148;1.08157;1.08138;1.08147;0
2023-04-03 00:12:00;1.08147;1.08167;1.08147;1.08166;0
2023-04-03 00:13:00;1.08167;1.08167;1.08153;1.08162;0
2023-04-03 00:14:00;1.08162;1.08162;1.08152;1.08152;0
2023-04-03 00:15:00;1.08152;1.08162;1.08144;1.08147;0
2023-04-03 00:16:00;1.08147;1.08164;1.08142;1.08163;0
2023-04-03 00:17:00;1.08164;1.0817;1.08163;1.08163;0
2023-04-03 00:18:00;1.08165;1.08172;1.0816;1.08167;0
2023-04-03 00:19:00;1.08167;1.08182;1.08167;1.08177;0
2023-04-03 00:20:00;1.08179;1.08182;1.08152;1.08152;0
2023-04-03 00:21:00;1.08152;1.08153;1.08142;1.08152;0
2023-04-03 00:22:00;1.08155;1.08164;1.08149;1.08152;0
2023-04-03 00:23:00;1.0815;1.08152;1.08117;1.08122;0
2023-04-03 00:24:00;1.08121;1.08126;1.08111;1.08126;0
