datetime_utc,event,country,impact,certainty,ticker,source_url,notes
2022-01-03T09:30:00+00:00,UK Manufacturing PMI (final) — January 2022,UK,medium,confirmed,PMI_UK_MFG,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&q=2022%20January,1-й рабочий день
2022-01-03T15:00:00+00:00,ISM Manufacturing PMI,US,high,confirmed,USD,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/pmi/2022/january/,nan
2022-01-05T09:30:00+00:00,UK Composite PMI (final) — January 2022,UK,medium,confirmed,PMI_UK_COMP,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&q=2022%20January,3-й рабочий день
2022-01-05T09:30:00+00:00,UK Services PMI (final) — January 2022,UK,medium,confirmed,PMI_UK_SERV,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&q=2022%20January,3-й рабочий день
2022-01-05T15:00:00+00:00,ISM Services PMI,US,high,confirmed,USD,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/services/2022/january/,nan
2022-01-07T13:30:00+00:00,NFP — занятость вне с/х (Employment Situation),US,high,confirmed,USD,https://www.bls.gov/news.release/archives/empsit_01072022.htm,nan
2022-01-12T13:30:00+00:00,CPI — индекс потребительских цен,US,high,confirmed,USD,https://www.bls.gov/news.release/archives/cpi_01122022.pdf,nan
2022-01-13T13:30:00+00:00,PPI — индекс цен производителей,US,high,confirmed,USD,https://www.bls.gov/news.release/archives/ppi_01132022.pdf,nan
2022-01-14T13:30:00+00:00,Retail Sales — розничные продажи (Advance),US,high,confirmed,USD,https://www2.census.gov/retail/releases/historical/marts/adv2112.pdf,nan
2022-01-21T09:30:00+00:00,UK Composite PMI (flash) — January 2022,UK,medium,confirmed,PMI_UK_FLASH_COMP,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&q=2022%20January,"~22 число, рабочий день"
2022-01-21T09:30:00+00:00,UK Manufacturing PMI (flash) — January 2022,UK,medium,confirmed,PMI_UK_FLASH_MFG,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&q=2022%20January,"~22 число, рабочий день"
2022-01-21T09:30:00+00:00,UK Services PMI (flash) — January 2022,UK,medium,confirmed,PMI_UK_FLASH_SERV,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&q=2022%20January,"~22 число, рабочий день"
2022-01-24T09:00:00+00:00,PMI Flash — Composite (еврозона),EA,medium,confirmed,,https://www.pmi.spglobal.com/Public/Release/ReleaseDates,Стандарт: публикуется за 7–9 дней до конца месяца; время в локали ~10:00.
2022-01-26T19:00:00+00:00,FOMC Statement,US,medium,confirmed,USD,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a.htm,nan
2022-01-26T19:00:00+00:00,FOMC — решение по ставке (Implementation Note),US,high,confirmed,USD,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a1.htm,nan
2022-01-26T19:30:00+00:00,FOMC Пресс‑конференция (Пауэлл),US,high,confirmed,USD,https://www.federalreserve.gov/monetarypolicy/fomcpresconf20220126.htm,nan
2022-01-27T13:30:00+00:00,GDP — публикация оценки ВВП (advance/second/third),US,high,confirmed,USD,https://www.bea.gov/sites/default/files/2022-01/gdp4q21_adv.pdf,nan
2022-01-28T13:30:00+00:00,PCE / Personal Income & Outlays,US,high,confirmed,USD,https://www.bea.gov/sites/default/files/2022-01/pi1221.pdf,nan
2022-01-31T10:00:00+00:00,HICP Flash — January 2022 (еврозона),EA,high,confirmed,,https://ec.europa.eu/eurostat/web/products-euro-indicators/-/2-31012022-ap,Флеш-оценка инфляции (Eurostat).
2022-02-01T09:00:00+00:00,PMI Final — Manufacturing (еврозона),EA,medium,confirmed,,https://www.pmi.spglobal.com/Public/Release/ReleaseDates,Финальная оценка за January 2022.
2022-02-01T09:30:00+00:00,UK Manufacturing PMI (final) — February 2022,UK,medium,confirmed,PMI_UK_MFG,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&q=2022%20February,1-й рабочий день
2022-02-01T15:00:00+00:00,ISM Manufacturing PMI,US,high,confirmed,USD,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/pmi/2022/february/,nan
2022-02-03T09:00:00+00:00,PMI Final — Composite (еврозона),EA,medium,confirmed,,https://www.pmi.spglobal.com/Public/Release/ReleaseDates,Финальная оценка за January 2022.
2022-02-03T09:00:00+00:00,PMI Final — Services (еврозона),EA,medium,confirmed,,https://www.pmi.spglobal.com/Public/Release/ReleaseDates,Финальная оценка за January 2022.
2022-02-03T09:30:00+00:00,UK Composite PMI (final) — February 2022,UK,medium,confirmed,PMI_UK_COMP,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&q=2022%20February,3-й рабочий день
2022-02-03T09:30:00+00:00,UK Services PMI (final) — February 2022,UK,medium,confirmed,PMI_UK_SERV,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&q=2022%20February,3-й рабочий день
2022-02-03T12:00:00+00:00,BoE — решение по процентной ставке,UK,medium,confirmed,BOE_RATE,https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2022/february-2022,Standard release 12:00 UK time
2022-02-03T12:30:00+00:00,BoE — пресс‑конференция (Monetary Policy Report),UK,medium,confirmed,BOE_PC,https://www.bankofengland.co.uk/monetary-policy-report/2022/february-2022,Quarterly MPR press conference
2022-02-03T12:45:00+00:00,ECB — решение по ставке,EA,high,confirmed,,https://www.ecb.europa.eu/press/pr/date/2022/html/ecb.mp220203~d0e41b5c06.en.html,Публикация пресс-релиза по решению ДКП.
2022-02-03T13:30:00+00:00,ECB — пресс‑конференция (Lagarde/De Guindos),EA,high,confirmed,,https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2022/html/ecb.is220203~06589b6b9e.en.html,Пресс-конференция после заседания.
2022-02-03T15:00:00+00:00,ISM Services PMI,US,high,confirmed,USD,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/services/2022/february/,nan
2022-02-04T13:30:00+00:00,NFP — занятость вне с/х (Employment Situation),US,high,confirmed,USD,https://www.bls.gov/news.release/archives/empsit_02042022.htm,nan
2022-02-10T13:30:00+00:00,CPI — индекс потребительских цен,US,high,confirmed,USD,https://www.bls.gov/news.release/archives/cpi_02102022.pdf,nan
2022-02-15T13:30:00+00:00,PPI — индекс цен производителей,US,high,confirmed,USD,https://www.bls.gov/news.release/archives/ppi_02152022.pdf,nan
2022-02-16T10:00:00+00:00,HICP Final — January 2022 (еврозона),EA,high,confirmed,,,Окончательная оценка инфляции (Eurostat).
