datetime_utc,event,country,impact,certainty,ticker,source_url,notes
2025-01-01T15:00:00+00:00,ISM Manufacturing PMI (Report On Business),US,high,confirmed,ISM_MFG,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/pmi/january/,nan
2025-01-03T15:00:00+00:00,ISM Services PMI (Report On Business),US,high,confirmed,ISM_SERV,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/services/january/,nan
2025-01-10T13:30:00+00:00,Employment Situation (Nonfarm Payrolls),US,high,confirmed,NFP,https://www.bls.gov/news.release/archives/empsit_01102025.htm,nan
2025-01-14T13:30:00+00:00,PPI — индекс цен производителей,US,high,confirmed,PPI,https://www.bls.gov/news.release/archives/ppi_01142025.htm,nan
2025-01-15T13:30:00+00:00,CPI — индекс потребительских цен,US,high,confirmed,CPI,https://www.bls.gov/news.release/archives/cpi_01152025.htm,nan
2025-01-16T13:30:00+00:00,Advance Retail Sales (MARTS),US,high,confirmed,RETAIL_SALES,https://www2.census.gov/retail/releases/historical/marts/adv2412.pdf,nan
2025-01-23T09:00:00+00:00,Еврозона PMI — Flash — Manufacturing — January 2025,EA,medium,confirmed,,https://www.pmi.spglobal.com/Public/Release/PressReleases,nan
2025-01-23T09:00:00+00:00,Еврозона PMI — Flash — Services — January 2025,EA,medium,confirmed,,https://www.pmi.spglobal.com/Public/Release/PressReleases,nan
2025-01-24T09:30:00+00:00,S&P Global Flash UK PMI® (Composite) — Январь 2025,UK,medium,confirmed,,https://www.pmi.spglobal.com/Public/Home/PressRelease/dfff1e95dabe4dd3afcb7b2d68a1b7f7,nan
2025-01-29T19:00:00+00:00,FOMC — Statement (пресс-релиз),US,medium,confirmed,FOMC_STATEMENT,https://www.federalreserve.gov/newsevents/pressreleases/monetary20250129a.htm,FOMC statement
2025-01-29T19:00:00+00:00,FOMC — решение по ставке,US,high,confirmed,FOMC_DECISION,https://www.federalreserve.gov/newsevents/pressreleases/monetary20250129a1.htm,Fed Implementation Note
2025-01-29T19:30:00+00:00,FOMC — пресс‑конференция председателя,US,high,confirmed,FED_PC,https://www.federalreserve.gov/monetarypolicy/fomcpresconf20250129.htm,Fed press conference
2025-01-30T10:00:00+00:00,Еврозона ВВП — Flash — Q4 2024,EA,high,confirmed,,https://www.pmi.spglobal.com/Public/Release/ReleaseDates,nan
2025-01-30T13:15:00+00:00,ЕЦБ: решение по ставке,EA,high,confirmed,,https://www.ecb.europa.eu/press/govcdec/other/monpol/2025/html/ecb.mp250130~db555b7d0b.en.html,nan
2025-01-30T13:30:00+00:00,GDP — Gross Domestic Product (adv/2nd/3rd),US,high,confirmed,GDP,https://www.bea.gov/news/2025/gross-domestic-product-fourth-quarter-and-year-2024-advance-estimate,nan
2025-01-30T13:45:00+00:00,ЕЦБ: пресс-конференция,EA,high,confirmed,,https://www.ecb.europa.eu/press/pressconf/2025/html/ecb.is250130~25ec4e89f6.en.html,nan
2025-01-31T13:30:00+00:00,PCE — Personal Income & Outlays (вкл. индекс цен PCE),US,high,confirmed,PCE,https://www.bea.gov/news/2025/personal-income-and-outlays-december-2024,nan
2025-02-03T09:00:00+00:00,Еврозона PMI — Final — Manufacturing — January 2025,EA,medium,confirmed,,https://www.pmi.spglobal.com/Public/Release/PressReleases,nan
2025-02-03T09:30:00+00:00,"S&P Global UK Manufacturing PMI — Итоговый, Январь 2025",UK,medium,confirmed,,https://www.pmi.spglobal.com/Public/Home/PressRelease/81651447912f4bdb81bfaf2a6a564d73,nan
2025-02-03T10:00:00+00:00,Еврозона HICP — Flash — February 2025,EA,high,confirmed,,https://www.pmi.spglobal.com/Public/Release/ReleaseDates,nan
2025-02-03T15:00:00+00:00,ISM Manufacturing PMI (Report On Business),US,high,confirmed,ISM_MFG,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/pmi/february/,nan
2025-02-05T09:00:00+00:00,Еврозона PMI — Final — Composite — January 2025,EA,medium,confirmed,,https://www.pmi.spglobal.com/Public/Release/PressReleases,nan
2025-02-05T09:00:00+00:00,Еврозона PMI — Final — Services — January 2025,EA,medium,confirmed,,https://www.pmi.spglobal.com/Public/Release/PressReleases,nan
